fila_excel,nombre,alias,tipo,detalle_cliente,categoria,sitio_web,anios_participacion,logo_archivo,logo_nombre_original,logo_drive_url,logo_descarga_directa,observacion
107,FUNDACIÓN MI CASA,,,Socia,Organizaciones participantes,www.fundacionmicasa.cl,2025,fundacion-mi-casa.jpeg,Fundación Mi Casa.jpeg,https://drive.google.com/file/d/1cW7NikcwQL83mzg1bZqk39g0h0eoH0O4/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1cW7NikcwQL83mzg1bZqk39g0h0eoH0O4,
108,MICOLAB,,,Socia,Organizaciones participantes,micolab.org,"2025, 2026",micolab.png,Logo Fundación MiColab.png,https://drive.google.com/file/d/10bGn0Fxi8Axt0Z6wXHA82TJrOOXftNFE/view?usp=sharing,https://drive.google.com/uc?export=download&id=10bGn0Fxi8Axt0Z6wXHA82TJrOOXftNFE,
109,FUNDACIÓN MI PARQUE,,,Socia,Organizaciones participantes,www.miparque.cl,2025,fundacion-mi-parque.png,Fundación mi Parque.png,https://drive.google.com/file/d/1vLqw-uICmZo1AlSd-426aUSdeZtFb2NZ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1vLqw-uICmZo1AlSd-426aUSdeZtFb2NZ,
110,FUNDACIÓN MINGA VALPO,,,Socia,Organizaciones participantes,www.mingavalpo.cl/,2025,fundacion-minga-valpo.webp,FUNDACIÓN MINGA VALPO.webp,https://drive.google.com/file/d/1YrFjGo-hUtjuEWXKlYI3InVegmGBaiAQ/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1YrFjGo-hUtjuEWXKlYI3InVegmGBaiAQ,
111,FUNDACIÓN MIS AMIGOS,,,Socia,Organizaciones participantes,https://www.fundacionmisamigos.cl/,2024,fundacion-mis-amigos.png,Fundación mis amigos.png,https://drive.google.com/file/d/1gHT5N7AWWUaMZKRVciBKgMDDZQA808kj/view?usp=sharing,https://drive.google.com/uc?export=download&id=1gHT5N7AWWUaMZKRVciBKgMDDZQA808kj,
112,FUNDACIÓN MISIÓN BATUCO,,,Socia,Organizaciones participantes,www.misionbatuco.cl,"2024, 2025",fundacion-mision-batuco.png,Fundación Misión Batuco.png,https://drive.google.com/file/d/13HIUpBZc-dPf7si0KeVNB-VaBHVHqL1y/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=13HIUpBZc-dPf7si0KeVNB-VaBHVHqL1y,
113,FUNDACIÓN NIÑO Y PATRIA,,,Socia,Organizaciones participantes,https://www.fundacionninoypatria.cl/,"2024, 2025",fundacion-nino-y-patria.png,Fundación Niño y Patria.png,https://drive.google.com/file/d/141msQFfDKmpo1g_D818CQLkIHwHDzipT/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=141msQFfDKmpo1g_D818CQLkIHwHDzipT,
114,FUNDACIÓN NUESTROS HIJOS,,,Socia,Organizaciones participantes,www.fundacionnuestroshijos.cl,2024,fundacion-nuestros-hijos.png,fnh_logotipo_v4.png,https://drive.google.com/file/d/1OeJtCAL0nVetQvtSCrM4GeMEyjrj7VuV/view?usp=sharing,https://drive.google.com/uc?export=download&id=1OeJtCAL0nVetQvtSCrM4GeMEyjrj7VuV,
115,FUNDACIÓN ODONTORUTEROS,,,Socia,Organizaciones participantes,https://fundacionodontoruteros.com/,2025,fundacion-odontoruteros.png,Fundación Odontoruteros.png,https://drive.google.com/file/d/1Vlx4nR4A5DcwaLP-jgliVnV4V28r0Qkl/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1Vlx4nR4A5DcwaLP-jgliVnV4V28r0Qkl,
116,FUNDACIÓN PADRE ALBERTO HURTADO,,,Socia,Organizaciones participantes,https://padrealbertohurtado.cl/,"2025, 2026",fundacion-padre-alberto-hurtado.jfif,Fundación Padre Hurtado.jfif,https://drive.google.com/file/d/1POgjmRY16XF1JMh5lUXiJyB9JBz-gmus/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1POgjmRY16XF1JMh5lUXiJyB9JBz-gmus,formato .jfif no es imagen web: convertir a PNG o pedir otro archivo
